stop_id,cluster_id
908976,908976
213317,908976
102534,908976
102022,908976
102148,908976
213316,908976
212033,908976
102294,908976
211101,908976
102032,908976
102296,908976
901265,908976
102062,908976
102070,908976
102156,908976
102004,908976
213406,908976
103138,908976
102042,908976
908990,908976
211627,908976
102258,908976
103134,908976
211645,908976
901374,908976
903332,908976
102226,908976
102236,908976
102274,908976
908981,908976
900787,908976
102289,908976
102270,908976
102248,908976
102308,908976
102292,908976
102310,908976
901150,908976
103130,908976
901264,908976
213360,908976
102540,908976
908986,908976
103136,908976
901376,908976
900726,908976
900784,908976
102228,908976
102254,908976
102298,908976
907842,907842
212020,907842
900724,907842
901416,907842
901286,907842
900727,907842
908601,907842
901285,907842
901373,907842
102180,907842
900691,907842
900692,907842
900786,907842
210155,907842
102558,907842
900781,907842
901063,907842
901151,907842
210762,907842
906647,906647
906837,906647
908695,906647
908618,908618
102132,908618
210709,908618
102530,908618
102150,908618
102152,908618
103026,908618
210431,908618
211954,908618
103024,908618
213587,908618
102060,908618
102262,908618
102005,908618
102006,908618
102174,908618
908696,908618
102173,908618
102051,908618
102044,908618
102282,908618
102170,908618
102046,908618
102512,908618
210555,908618
906369,906369
906370,906369
213454,906369
213458,906369
210678,906369
901241,906369
901789,906369
902512,906369
210679,906369
902485,906369
902487,906369
902489,906369
902514,906369
902490,906369
213110,906369
902515,906369
902516,906369
907913,907913
904967,907913
905161,907913
904966,907913
902390,907913
905046,907913
904916,907913
907914,907913
212029,907913
905035,907913
901415,907913
904673,907913
904671,907913
905032,907913
905031,907913
901321,907913
904295,907913
900780,907913
907473,907913
904915,907913
904925,907913
902385,907913
902384,907913
908374,908374
905030,908374
904349,908374
900023,908374
904678,908374
902393,908374
908375,908374
900021,908374
904800,908374
904297,908374
904298,908374
904930,908374
904931,908374
213456,908374
213457,908374
902386,908374
904924,908374
902387,908374
904621,908374
904923,908374
904929,908374
211335,908374
901231,908374
901165,908374
908475,908475
904742,908475
905074,908475
904743,908475
905076,908475
904385,908475
905077,908475
904860,908475
212946,908475
904824,908475
904262,908475
904364,908475
904277,908475
904744,908475
904988,908475
908700,908475
212904,908475
904825,908475
904826,908475
212977,908475
908047,908047
903000,908047
903009,908047
908051,908047
211926,908047
907775,907775
902145,907775
902144,907775
908054,907775
907823,907775
908055,907775
901756,907775
900003,907775
900477,907775
900601,907775
902641,902641
900013,902641
900014,902641
902638,902641
902797,902641
212048,902641
902838,902641
908704,908704
113120,908704
908705,908704
113054,908704
114150,908704
114152,908704
114900,908704
211322,908704
113086,908704
113128,908704
114006,908704
114016,908704
113092,908704
113100,908704
114014,908704
114082,908704
114054,908704
113166,908704
213084,908704
213085,908704
114166,908704
114056,908704
114158,908704
113122,908704
114168,908704
113165,908704
907844,907844
908599,907844
166042,907844
212948,907844
212949,907844
212058,907844
166900,907844
166901,907844
908639,908639
905648,908639
210562,908639
908718,908639
905882,908639
905887,908639
905888,908639
905889,908639
905890,908639
906006,908639
908628,908628
213168,908628
907709,908628
211451,908628
213149,908628
213274,908628
213275,908628
165117,908628
146054,908628
146052,908628
146300,908628
908707,908628
146330,908628
146900,908628
146332,908628
146006,908628
210928,908628
146002,908628
210927,908628
146322,908628
212014,908628
146520,908628
212013,908628
211870,908628
908911,908911
900927,908911
900928,908911
900930,908911
900967,908911
901115,908911
900725,908911
901287,908911
211546,908911
901148,908911
210760,908911
900690,908911
908912,908911
900689,908911
900723,908911
907907,907907
213384,907907
900978,907907
903261,907907
903941,907907
901142,907907
901011,907907
903320,907907
903448,907907
901141,907907
901000,907907
901140,907907
901144,907907
901189,907907
907933,907907
212992,907907
901191,907907
213385,907907
903296,907907
903939,907907
906827,906827
900579,906827
905666,906827
900593,906827
905642,906827
905758,906827
905643,906827
905759,906827
908717,906827
905428,906827
900600,906827
908872,908872
211605,908872
903034,908872
903165,908872
908885,908872
902890,908872
908634,908634
904380,908634
212983,908634
901426,908634
904569,908634
904379,908634
901411,908634
904688,908634
900686,908634
901312,908634
908709,908634
901201,908634
901408,908634
908435,908435
213474,908435
908694,908435
213037,908435
907845,907845
907846,907845
903164,907845
907843,907843
101010,907843
101126,907843
211005,907843
102532,907843
101092,907843
101096,907843
102554,907843
102078,907843
102109,907843
210568,907843
102218,907843
102210,907843
102108,907843
102074,907843
213320,907843
213321,907843
102214,907843
908600,907843
102026,907843
102028,907843
213318,907843
213319,907843
102030,907843
102058,907843
102056,907843
908603,908603
905609,908603
905610,908603
905725,908603
908604,908603
905514,908603
905515,908603
905842,908603
905709,908603
906019,908603
905299,908603
905707,908603
213527,908603
905895,908603
907766,907766
902725,907766
908480,907766
903120,903120
903177,903120
903119,903120
908301,908301
908302,908301
210142,908301
210143,908301
123202,908301
123020,908301
123110,908301
123900,908301
123022,908301
123072,908301
123028,908301
123018,908301
123016,908301
908963,908963
902839,908963
100004,908963
101069,908963
904948,908963
100142,908963
100164,908963
100137,908963
904628,908963
100046,908963
904642,908963
101466,908963
904629,908963
904627,908963
903548,908963
100048,908963
904957,908963
908964,908963
101133,908963
101139,908963
903549,908963
903603,908963
101168,908963
908436,908436
103108,908436
102172,908436
213588,908436
213589,908436
211646,908436
103198,908436
103202,908436
103170,908436
103200,908436
103034,908436
213105,908436
103900,908436
908693,908436
211647,908436
103032,908436
211648,908436
903457,908436
103191,908436
103193,908436
103190,908436
211631,908436
908515,908515
211300,908515
908516,908515
903391,908515
210338,908515
210339,908515
908845,908845
908862,908845
906004,908845
905399,908845
905508,908845
906077,908845
211583,908845
212902,908845
211009,908845
906016,908845
905877,908845
908629,908629
136114,908629
908706,908629
136901,908629
136116,908629
136084,908629
136086,908629
136104,908629
908438,908438
904820,908438
905079,908438
904940,908438
904941,908438
904264,908438
904396,908438
908691,908438
213043,908438
907960,907960
904623,907960
904624,907960
904658,907960
904659,907960
907961,907960
904519,907960
904604,907960
903601,907960
904605,907960
210208,907960
904488,907960
904999,907960
908186,908186
905957,908186
905958,908186
906255,908186
906256,908186
908187,908186
905697,908186
907906,907906
900183,907906
900245,907906
903242,907906
901085,907906
900241,907906
900200,907906
900219,907906
901346,907906
901398,907906
901345,907906
901397,907906
901344,907906
901341,907906
901342,907906
900182,907906
900232,907906
900231,907906
908023,907906
905027,907906
905133,907906
900934,907906
900218,907906
900992,907906
900217,907906
130090,130090
213046,130090
130200,130090
130058,130090
213045,130090
