orig-block,dest-block,Count
121480,66035,1.0
121480,66825,1.0
121480,69540,1.0
121480,70554,1.0
121480,88431,1.0
121480,122178,1.0
121480,123777,1.0
121480,128268,1.0
121480,129175,1.0
121480,130954,1.0
121480,134024,1.0
121481,129983,1.0
121482,67917,1.0
121482,70541,1.0
121482,90623,1.0
121482,124210,1.0
121482,126051,1.0
121482,126606,1.0
121482,128268,1.0
121482,129772,1.0
121483,52889,1.0
121483,56388,1.0
121483,61334,1.0
121483,61660,1.0
121483,62045,1.0
121483,63467,1.0
121483,63863,1.0
121483,64418,1.0
121483,64654,1.0
121483,66035,1.0
121483,67595,1.0
121483,67779,1.0
121483,69698,1.0
121483,69848,1.0
121483,69912,1.0
121483,70890,1.0
121483,88216,1.0
121483,89091,1.0
121483,89926,1.0
121483,92149,1.0
121483,92808,1.0
121483,93503,1.0
121483,93992,2.0
121483,94127,1.0
121483,94680,1.0
121483,95169,1.0
121483,95314,1.0
121483,118430,1.0
121483,118441,1.0
121483,118591,1.0
121483,118769,1.0
121483,121519,1.0
121483,121520,1.0
121483,121802,1.0
121483,122184,1.0
121483,122406,1.0
121483,122545,1.0
121483,122723,1.0
121483,123200,2.0
121483,123239,1.0
121483,123312,1.0
121483,123369,2.0
121483,123647,1.0
121483,123873,1.0
121483,123898,1.0
121483,124068,1.0
121483,124441,1.0
121483,125130,1.0
121483,125133,1.0
121483,125136,1.0
121483,125341,1.0
121483,125434,1.0
121483,125782,1.0
121483,126050,1.0
121483,126060,1.0
121483,126132,1.0
121483,126133,1.0
121483,126157,1.0
121483,126261,1.0
121483,126266,1.0
121483,126519,2.0
121483,126606,1.0
121483,126761,1.0
121483,126855,1.0
121483,127097,1.0
121483,127691,1.0
121483,127696,1.0
121483,127723,1.0
121483,127940,2.0
121483,128081,1.0
121483,128227,1.0
121483,128249,1.0
121483,128264,1.0
121483,128267,1.0
121483,128268,1.0
121483,128358,1.0
121483,128402,1.0
121483,128493,1.0
121483,128631,1.0
121483,128714,3.0
121483,128755,1.0
121483,128908,1.0
121483,128914,1.0
121483,129148,1.0
121483,129265,1.0
121483,129346,1.0
121483,129385,1.0
121483,129428,1.0
121483,129509,1.0
121483,129518,1.0
121483,129879,1.0
121483,129913,1.0
121483,129983,1.0
121483,130954,2.0
121483,131006,1.0
121483,131061,1.0
121483,131131,1.0
121483,131136,2.0
121483,131163,1.0
121483,131825,1.0
121483,132053,1.0
121483,133236,1.0
121483,133345,2.0
121483,133477,1.0
121483,133706,1.0
121483,133883,1.0
121483,134405,1.0
121483,145659,1.0
121483,145669,1.0
121483,145678,1.0
121483,145777,1.0
121483,145841,1.0
121483,145859,1.0
121483,150286,1.0
121483,150981,1.0
121483,152541,1.0
121484,61660,1.0
121484,62045,1.0
121484,66522,1.0
121484,67357,1.0
121484,67708,1.0
121484,70074,1.0
121484,88648,1.0
121484,88744,1.0
121484,90190,1.0
121484,90623,1.0
121484,91280,1.0
121484,91426,1.0
121484,91697,2.0
121484,91704,1.0
121484,93698,1.0
121484,93919,1.0
121484,121959,1.0
121484,122220,1.0
121484,122536,1.0
121484,122673,1.0
121484,123003,1.0
121484,123505,1.0
121484,123559,1.0
121484,124067,1.0
121484,124131,1.0
121484,124322,1.0
121484,125116,1.0
121484,125224,1.0
121484,125310,1.0
121484,125782,1.0
121484,126050,1.0
121484,126060,1.0
121484,126264,1.0
121484,126395,1.0
121484,126480,1.0
121484,126804,1.0
121484,126914,1.0
121484,126915,1.0
121484,126974,1.0
121484,127047,1.0
121484,128120,1.0
121484,128268,1.0
121484,128631,1.0
121484,129066,1.0
121484,129278,1.0
121484,129772,1.0
121484,130275,1.0
