index,person-id,orig-taz,orig-block,orig-block-lat,orig-block-lon,dest-taz,dest-block,dest-block-lat,dest-block-lon,start-time-code,start-time
760039,3614265,5843,154929,34.1251798,-83.9397932,347,126090,33.8501427,-84.3592559,8,6:30-AM
760040,3614266,5843,156267,34.1284608,-83.9429463,87,127696,34.0897251,-84.2393547,9,7:00-AM
760041,3613933,5843,156268,34.1270848,-83.9444727,5842,155607,34.1350924,-83.9602171,12,8:30-AM
760042,3613934,5843,155776,34.1301,-83.9392081,2556,149478,33.9447071,-84.2594362,10,7:30-AM
760043,3614154,5843,155776,34.1301,-83.9392081,680,126606,33.7538024,-84.3896345,13,9:00-AM
760044,3613637,5843,155776,34.1301,-83.9392081,5774,157273,34.2844577,-83.8004964,6,5:30-AM
760045,3613638,5843,156267,34.1284608,-83.9429463,5843,155776,34.1301,-83.9392081,9,7:00-AM
760046,3614049,5843,155776,34.1301,-83.9392081,2921,150691,34.057636,-83.9355993,10,7:30-AM
760047,3613988,5843,154929,34.1251798,-83.9397932,195,126050,33.9946702,-84.34188,6,5:30-AM
760048,3613988,5843,156268,34.1270848,-83.9444727,195,126050,33.9946702,-84.34188,21,1:00-PM
760049,3613989,5843,156832,34.1295212,-83.9458546,2596,146317,33.8906396,-84.136872,6,5:30-AM
760050,3613740,5843,154929,34.1251798,-83.9397932,2823,151139,33.9596777,-84.1389964,8,6:30-AM
760051,3613741,5843,156267,34.1284608,-83.9429463,2849,148471,34.0765912,-84.0641304,13,9:00-AM
760052,3613560,5843,156516,34.1307463,-83.9485523,2912,150476,34.0749075,-83.8926989,19,12:00-PM
760053,3613560,5843,156268,34.1270848,-83.9444727,2912,150476,34.0749075,-83.8926989,25,3:00-PM
760054,3613663,5843,155776,34.1301,-83.9392081,2815,147456,33.9656651,-84.1142632,11,8:00-AM
760055,3614259,5843,155776,34.1301,-83.9392081,2931,146553,34.0230097,-84.038022,21,1:00-PM
760056,3614260,5843,155776,34.1301,-83.9392081,2525,147202,33.9716508,-84.1955041,12,8:30-AM
760057,3614194,5843,155776,34.1301,-83.9392081,5774,157273,34.2844577,-83.8004964,6,5:30-AM
760058,3614195,5843,155776,34.1301,-83.9392081,5736,157071,34.2749435,-83.8519607,10,7:30-AM
760059,3613978,5843,155776,34.1301,-83.9392081,2868,146613,34.0874211,-84.0191395,11,8:00-AM
760060,3613633,5843,156832,34.1295212,-83.9458546,2119,69376,33.8629526,-84.6684055,1,3:00-AM
760061,3613533,5843,154929,34.1251798,-83.9397932,2913,147904,34.0586178,-83.9187276,13,9:00-AM
760062,3613534,5843,154929,34.1251798,-83.9397932,2782,147908,33.9889965,-84.0721738,9,7:00-AM
760063,3614108,5843,155776,34.1301,-83.9392081,1424,88742,33.883164,-84.2625567,11,8:00-AM
760064,3614206,5843,155776,34.1301,-83.9392081,2900,149245,34.0713028,-83.9759193,11,8:00-AM
760065,3614207,5843,156832,34.1295212,-83.9458546,2922,147268,34.0443753,-83.9506528,16,10:30-AM
760066,3613477,5843,156267,34.1284608,-83.9429463,5735,157965,34.2670989,-83.8761331,8,6:30-AM
760067,3613478,5843,155776,34.1301,-83.9392081,5759,158132,34.3052332,-83.835027,9,7:00-AM
760068,3613545,5843,155776,34.1301,-83.9392081,5703,154939,34.3551712,-83.7717412,11,8:00-AM
760069,3614100,5843,155776,34.1301,-83.9392081,1534,88888,33.7827924,-84.2675466,7,6:00-AM
760070,3614101,5843,155776,34.1301,-83.9392081,1459,93012,33.8488726,-84.2455999,9,7:00-AM
760071,3614348,5843,156832,34.1295212,-83.9458546,5848,155025,34.1881162,-83.9134918,9,7:00-AM
760072,3614349,5843,155776,34.1301,-83.9392081,2518,149729,33.9659043,-84.2100576,13,9:00-AM
760073,3614350,5843,155776,34.1301,-83.9392081,5842,155868,34.1388241,-83.9570661,10,7:30-AM
760074,3613655,5843,156268,34.1270848,-83.9444727,2900,149245,34.0713028,-83.9759193,7,6:00-AM
760075,3613656,5843,155776,34.1301,-83.9392081,2616,146671,33.8737102,-84.1080776,8,6:30-AM
760076,3614274,5843,154929,34.1251798,-83.9397932,80,125130,34.0937461,-84.2719447,9,7:00-AM
760077,3614089,5843,156267,34.1284608,-83.9429463,2887,152056,34.1068191,-84.0148188,9,7:00-AM
760078,3614090,5843,156516,34.1307463,-83.9485523,2554,152461,33.9291042,-84.224244,12,8:30-AM
760079,3613860,5843,156832,34.1295212,-83.9458546,2773,150319,33.9590409,-84.0908957,23,2:00-PM
760080,3636624,5844,155391,34.1471217,-83.9325293,5734,158707,34.2720105,-83.8910288,10,7:30-AM
760081,3636625,5844,156203,34.1507233,-83.9315907,5852,158792,34.1593475,-83.901193,10,7:30-AM
760082,3636433,5844,156203,34.1507233,-83.9315907,2518,149111,33.9569479,-84.2288925,7,6:00-AM
760083,3636434,5844,158951,34.1446704,-83.9430132,2555,150766,33.9322156,-84.2244131,11,8:00-AM
760084,3636039,5844,155391,34.1471217,-83.9325293,2653,151670,33.8495345,-84.029983,10,7:30-AM
760085,3636171,5844,155391,34.1471217,-83.9325293,777,129725,33.7495798,-84.3863088,2,3:30-AM
760086,3636173,5844,158951,34.1446704,-83.9430132,5844,155391,34.1471217,-83.9325293,12,8:30-AM
760087,3635729,5844,155391,34.1471217,-83.9325293,2947,147915,33.9805384,-83.979078,13,9:00-AM
760088,3635730,5844,155391,34.1471217,-83.9325293,2867,150451,34.1034177,-83.99081,17,11:00-AM
760089,3635708,5844,155391,34.1471217,-83.9325293,2861,152547,34.0817426,-84.0409373,7,6:00-AM
760090,3635709,5844,155391,34.1471217,-83.9325293,5822,156613,34.1975519,-83.9043661,12,8:30-AM
760091,3635647,5844,155391,34.1471217,-83.9325293,1755,95107,33.7822365,-84.2491262,5,5:00-AM
760092,3635648,5844,155391,34.1471217,-83.9325293,5843,156832,34.1295212,-83.9458546,28,4:30-PM
760093,3636430,5844,155391,34.1471217,-83.9325293,5822,158054,34.1942281,-83.9000703,11,8:00-AM
760094,3636430,5844,155391,34.1471217,-83.9325293,5822,156394,34.2006191,-83.8998395,24,2:30-PM
760095,3636599,5844,155391,34.1471217,-83.9325293,1371,90282,33.8285416,-84.3447581,10,7:30-AM
760096,3636600,5844,155391,34.1471217,-83.9325293,5767,155718,34.3033514,-83.8219155,10,7:30-AM
760097,3635703,5844,155391,34.1471217,-83.9325293,5839,155611,34.1586738,-83.9519528,7,6:00-AM
760098,3636294,5844,155391,34.1471217,-83.9325293,258,132937,33.9062786,-84.3615147,13,9:00-AM
760099,3635798,5844,155391,34.1471217,-83.9325293,5737,158034,34.2592947,-83.8521746,8,6:30-AM
760100,3636006,5844,155391,34.1471217,-83.9325293,5762,156720,34.3057247,-83.8281969,8,6:30-AM
760101,3636011,5844,155391,34.1471217,-83.9325293,2899,151570,34.0759081,-83.9484841,8,6:30-AM
760102,3636636,5844,155391,34.1471217,-83.9325293,392,124301,33.8199847,-84.4408177,11,8:00-AM
760103,3636182,5844,155391,34.1471217,-83.9325293,5574,7209,33.9888898,-83.7190089,8,6:30-AM
760104,3636105,5844,155391,34.1471217,-83.9325293,305,130608,33.8750007,-84.3835424,9,7:00-AM
760105,3635744,5844,156203,34.1507233,-83.9315907,174,130116,34.0259699,-84.2655947,11,8:00-AM
760106,3635745,5844,156203,34.1507233,-83.9315907,727,127032,33.7677516,-84.3875708,10,7:30-AM
760107,3635834,5844,155391,34.1471217,-83.9325293,2859,146761,34.0357566,-84.0493801,4,4:30-AM
760108,3636557,5844,155391,34.1471217,-83.9325293,1427,93395,33.8706933,-84.2593959,9,7:00-AM
760109,3636558,5844,155391,34.1471217,-83.9325293,5752,157361,34.3000309,-83.8283632,8,6:30-AM
760110,3636278,5844,155391,34.1471217,-83.9325293,5812,157873,34.2437238,-83.8648668,13,9:00-AM
760111,3636282,5844,155391,34.1471217,-83.9325293,2902,147655,34.073809,-83.9288305,8,6:30-AM
760112,3636202,5844,156203,34.1507233,-83.9315907,248,133481,33.9128286,-84.3544532,8,6:30-AM
760113,3636203,5844,156203,34.1507233,-83.9315907,2792,149651,33.9931556,-84.0246619,28,4:30-PM
760114,3636356,5844,155391,34.1471217,-83.9325293,2903,148990,34.0986653,-83.9237519,11,8:00-AM
760115,3636539,5844,155391,34.1471217,-83.9325293,2881,149919,34.1153646,-84.0644927,13,9:00-AM
760116,3636540,5844,155391,34.1471217,-83.9325293,1502,91128,33.8268708,-84.1920084,9,7:00-AM
760117,3635803,5844,156203,34.1507233,-83.9315907,5841,157187,34.1457405,-83.9711066,13,9:00-AM
760118,3636185,5844,155391,34.1471217,-83.9325293,346,127097,33.8436761,-84.3622841,10,7:30-AM
760119,3636185,5844,155391,34.1471217,-83.9325293,346,127097,33.8436761,-84.3622841,38,9:30-PM
760120,3636186,5844,155391,34.1471217,-83.9325293,1471,93766,33.879048,-84.2149248,7,6:00-AM
760121,3635863,5844,155391,34.1471217,-83.9325293,2887,152644,34.1072704,-84.0243794,11,8:00-AM
760122,3635865,5844,155391,34.1471217,-83.9325293,5842,156336,34.1391847,-83.9562901,8,6:30-AM
760123,3635836,5844,155391,34.1471217,-83.9325293,5822,156613,34.1975519,-83.9043661,1,3:00-AM
760124,3635837,5844,156203,34.1507233,-83.9315907,2773,151787,33.9503581,-84.0856939,9,7:00-AM
760125,3636107,5844,155391,34.1471217,-83.9325293,5801,158305,34.2712779,-83.8371265,5,5:00-AM
760126,3636406,5844,155391,34.1471217,-83.9325293,2867,150451,34.1034177,-83.99081,13,9:00-AM
760127,3636406,5844,155391,34.1471217,-83.9325293,2867,150451,34.1034177,-83.99081,28,4:30-PM
760128,3636534,5844,155391,34.1471217,-83.9325293,2839,150980,34.0085826,-84.1752904,16,10:30-AM
760129,3636535,5844,155391,34.1471217,-83.9325293,2916,148456,34.0614469,-83.8720132,19,12:00-PM
760130,3636640,5844,155391,34.1471217,-83.9325293,2900,149245,34.0713028,-83.9759193,13,9:00-AM
760131,3635916,5844,155391,34.1471217,-83.9325293,553,131671,33.776852,-84.3861443,9,7:00-AM
760132,3635792,5844,155391,34.1471217,-83.9325293,1391,92529,33.8888177,-84.2975505,11,8:00-AM
760133,3635794,5844,155391,34.1471217,-83.9325293,5730,156974,34.2980305,-83.8654225,8,6:30-AM
760134,3635971,5844,156203,34.1507233,-83.9315907,246,128264,33.9213785,-84.3496308,6,5:30-AM
760135,3635972,5844,155391,34.1471217,-83.9325293,2517,150561,33.9667568,-84.2375649,11,8:00-AM
760136,3635620,5844,155391,34.1471217,-83.9325293,289,121520,33.9043105,-84.3486865,7,6:00-AM
760137,3635621,5844,155391,34.1471217,-83.9325293,5844,155391,34.1471217,-83.9325293,11,8:00-AM
760138,3635622,5844,155391,34.1471217,-83.9325293,5725,155676,34.348945,-83.9056268,9,7:00-AM
760139,3636578,5844,155391,34.1471217,-83.9325293,2518,149729,33.9659043,-84.2100576,12,8:30-AM
760140,3636579,5844,155391,34.1471217,-83.9325293,2837,152967,34.0014101,-84.168954,9,7:00-AM
760141,3636047,5844,155391,34.1471217,-83.9325293,5845,155890,34.1709999,-83.9180868,26,3:30-PM
760142,3635549,5844,156203,34.1507233,-83.9315907,163,126980,34.0288945,-84.3448002,10,7:30-AM
760143,3635550,5844,156203,34.1507233,-83.9315907,104,131659,34.0573088,-84.2057875,10,7:30-AM
