index,person-id,orig-taz,orig-block,orig-block-lat,orig-block-lon,dest-taz,dest-block,dest-block-lat,dest-block-lon,start-time-code,start-time
1760089,1507452,4193,51643,34.0912907,-84.5711296,4162,50607,34.0792972,-84.467661,8,6:30-AM
1760090,1508246,4193,52508,34.089366,-84.5669584,171,122596,34.0269187,-84.2909813,6,5:30-AM
1760091,1508173,4193,53254,34.0898599,-84.5751764,1976,62409,34.047577,-84.5295878,10,7:30-AM
1760092,1509316,4193,53254,34.0898599,-84.5751764,4193,53254,34.0898599,-84.5751764,9,7:00-AM
1760093,1509317,4193,53254,34.0898599,-84.5751764,3977,101841,33.703129,-84.6465157,6,5:30-AM
1760094,1508372,4193,50216,34.0971551,-84.5718375,1995,61420,34.0050115,-84.5791116,18,11:30-AM
1760095,1508373,4193,50452,34.0948964,-84.5801357,4125,52870,34.1828455,-84.5009116,7,6:00-AM
1760096,1508022,4193,52508,34.089366,-84.5669584,2199,65090,33.9894575,-84.5813072,4,4:30-AM
1760097,1507919,4193,53254,34.0898599,-84.5751764,2293,67291,33.9656601,-84.4421526,12,8:30-AM
1760098,1507920,4193,52646,34.0974333,-84.5796296,548,124133,33.7839153,-84.3870582,15,10:00-AM
1760099,1508354,4193,53254,34.0898599,-84.5751764,119,132232,34.066722,-84.2670236,10,7:30-AM
1760100,1508355,4193,53254,34.0898599,-84.5751764,4193,52646,34.0974333,-84.5796296,10,7:30-AM
1760101,1509304,4193,50841,34.0983087,-84.5780356,1999,63007,34.0199252,-84.5940851,2,3:30-AM
1760102,1509306,4193,53254,34.0898599,-84.5751764,4193,50841,34.0983087,-84.5780356,15,10:00-AM
1760103,1506562,4193,51643,34.0912907,-84.5711296,2632,152893,33.8180982,-84.1139325,24,2:30-PM
1760104,1508063,4193,50841,34.0983087,-84.5780356,4193,53254,34.0898599,-84.5751764,13,9:00-AM
1760105,1507720,4193,50597,34.101169,-84.5781612,4193,52118,34.0928422,-84.5775678,14,9:30-AM
1760106,1507720,4193,52646,34.0974333,-84.5796296,4193,50216,34.0971551,-84.5718375,19,12:00-PM
1760107,1507721,4193,53254,34.0898599,-84.5751764,1317,90336,33.9301822,-84.3358656,12,8:30-AM
1760108,1509052,4193,53254,34.0898599,-84.5751764,4193,53254,34.0898599,-84.5751764,8,6:30-AM
1760109,1508528,4193,50532,34.103002,-84.5782672,2263,65684,33.9872754,-84.4163136,9,7:00-AM
1760110,1508529,4193,50841,34.0983087,-84.5780356,2009,65324,34.0246638,-84.6165052,9,7:00-AM
1760111,1506430,4193,53254,34.0898599,-84.5751764,1988,62498,34.0384821,-84.5676915,20,12:30-PM
1760112,1508212,4193,50452,34.0948964,-84.5801357,2022,64473,34.0733164,-84.6929644,5,5:00-AM
1760113,1508213,4193,50216,34.0971551,-84.5718375,2003,62677,34.0435956,-84.5860518,15,10:00-AM
1760114,1508214,4193,53254,34.0898599,-84.5751764,2247,67760,34.0390434,-84.4185562,11,8:00-AM
1760115,1508182,4193,50480,34.0887362,-84.5694307,4193,52646,34.0974333,-84.5796296,7,6:00-AM
1760116,1507548,4193,50841,34.0983087,-84.5780356,2330,66854,33.8853773,-84.4691777,13,9:00-AM
1760117,1507646,4193,50841,34.0983087,-84.5780356,4193,50841,34.0983087,-84.5780356,9,7:00-AM
1760118,1507647,4193,53254,34.0898599,-84.5751764,2335,62825,33.9009365,-84.4562613,16,10:30-AM
1760119,1506629,4193,52508,34.089366,-84.5669584,388,132169,33.8034898,-84.4290528,12,8:30-AM
1760120,1506630,4193,50841,34.0983087,-84.5780356,1999,65240,34.0203078,-84.589491,9,7:00-AM
1760121,1508674,4193,52508,34.089366,-84.5669584,2167,69661,33.9373881,-84.5168833,8,6:30-AM
1760122,1508675,4193,53254,34.0898599,-84.5751764,2186,67737,33.9750856,-84.5592162,19,12:00-PM
1760123,1507127,4193,50841,34.0983087,-84.5780356,4189,52821,34.1002397,-84.5618301,26,3:30-PM
1760124,1506995,4193,51643,34.0912907,-84.5711296,2229,67916,34.0668767,-84.5042341,9,7:00-AM
1760125,1507273,4193,51586,34.1010707,-84.5795483,1980,71185,34.0314166,-84.5530624,11,8:00-AM
1760126,1506556,4193,53254,34.0898599,-84.5751764,4190,50191,34.1043565,-84.5474819,15,10:00-AM
1760127,1506558,4193,50452,34.0948964,-84.5801357,2336,66035,33.9009215,-84.4622689,13,9:00-AM
1760128,1506558,4193,50841,34.0983087,-84.5780356,2336,66035,33.9009215,-84.4622689,22,1:30-PM
1760129,1508263,4193,50541,34.0899283,-84.5693842,587,123794,33.7631261,-84.3592915,5,5:00-AM
1760130,1507609,4193,50841,34.0983087,-84.5780356,1968,67785,34.0669581,-84.5233775,17,11:00-AM
1760131,1508545,4193,52646,34.0974333,-84.5796296,4193,52646,34.0974333,-84.5796296,6,5:30-AM
1760132,1506498,4193,50841,34.0983087,-84.5780356,484,131006,33.7747911,-84.392584,9,7:00-AM
1760133,1509273,4193,50429,34.101037,-84.5788254,4193,52118,34.0928422,-84.5775678,7,6:00-AM
1760134,1509134,4193,50841,34.0983087,-84.5780356,4193,50452,34.0948964,-84.5801357,6,5:30-AM
1760135,1506796,4193,50841,34.0983087,-84.5780356,195,126050,33.9946702,-84.34188,7,6:00-AM
1760136,1507505,4193,52646,34.0974333,-84.5796296,2200,68206,33.989413,-84.5695336,8,6:30-AM
1760137,1507506,4193,50841,34.0983087,-84.5780356,4168,52252,34.1054768,-84.5155582,10,7:30-AM
1760138,1509450,4193,50216,34.0971551,-84.5718375,2037,66934,34.0039479,-84.6111563,3,4:00-AM
1760139,1507094,4193,50216,34.0971551,-84.5718375,2275,61917,33.9706343,-84.5374964,7,6:00-AM
