index,person-id,orig-taz,orig-block,orig-block-lat,orig-block-lon,dest-taz,dest-block,dest-block-lat,dest-block-lon,start-time-code,start-time
1780090,2487257,4274,81817,33.3954452,-84.7702982,4238,81110,33.4158777,-84.7129194,19,12:00-PM
1780091,2487258,4274,81600,33.3981738,-84.7718984,3965,102017,33.7732581,-84.6504935,6,5:30-AM
1780092,2487633,4274,81600,33.3981738,-84.7718984,4946,36544,33.68562,-84.9761742,11,8:00-AM
1780093,2487241,4274,81817,33.3954452,-84.7702982,3640,113987,33.4569012,-84.6068882,7,6:00-AM
1780094,2487105,4274,81817,33.3954452,-84.7702982,3913,102589,33.7444594,-84.7368341,7,6:00-AM
1780095,2487694,4274,81817,33.3954452,-84.7702982,3708,114125,33.4706551,-84.5166475,9,7:00-AM
1780096,2486798,4274,81817,33.3954452,-84.7702982,4340,81058,33.3762919,-84.8042032,9,7:00-AM
1780097,2486799,4274,81817,33.3954452,-84.7702982,4215,81420,33.4719096,-84.6765641,10,7:30-AM
1780098,2487557,4274,81817,33.3954452,-84.7702982,4270,81669,33.3873783,-84.758679,9,7:00-AM
1780099,2487559,4274,81817,33.3954452,-84.7702982,4275,79160,33.3875483,-84.7828694,30,5:30-PM
1780100,2486807,4274,81817,33.3954452,-84.7702982,4237,81207,33.3857434,-84.7134373,10,7:30-AM
1780101,2487665,4274,81817,33.3954452,-84.7702982,4250,80624,33.3433287,-84.6951596,9,7:00-AM
1780102,2487666,4274,81817,33.3954452,-84.7702982,4238,81110,33.4158777,-84.7129194,11,8:00-AM
1780103,2486842,4274,81817,33.3954452,-84.7702982,4233,80703,33.4068122,-84.6578581,12,8:30-AM
1780104,2487561,4274,81817,33.3954452,-84.7702982,4270,81669,33.3873783,-84.758679,8,6:30-AM
1780105,2487019,4274,79865,33.3946884,-84.7753556,2324,65848,33.884746,-84.4543007,5,5:00-AM
1780106,2487625,4274,81817,33.3954452,-84.7702982,680,123898,33.7532678,-84.3901107,6,5:30-AM
1780107,2487626,4274,81817,33.3954452,-84.7702982,4285,81272,33.4020746,-84.7963301,10,7:30-AM
1780108,2487626,4274,81271,33.3984306,-84.7747924,4285,79423,33.4209669,-84.8032974,25,3:00-PM
1780109,2486995,4274,81817,33.3954452,-84.7702982,3401,56388,33.6022326,-84.4139577,9,7:00-AM
1780110,2487885,4274,80518,33.3975053,-84.7736285,4287,80867,33.4127664,-84.7695183,14,9:30-AM
1780111,2487252,4274,81271,33.3984306,-84.7747924,1043,126096,33.7591952,-84.5469006,5,5:00-AM
1780112,2487253,4274,79805,33.3895252,-84.7847783,1373,93504,33.83639,-84.3310965,8,6:30-AM
1780113,2487254,4274,81600,33.3981738,-84.7718984,3388,58880,33.6464758,-84.444393,5,5:00-AM
1780114,2487804,4274,79865,33.3946884,-84.7753556,4274,81817,33.3954452,-84.7702982,8,6:30-AM
1780115,2487805,4274,81969,33.3960945,-84.7776106,400,129842,33.8086672,-84.4700259,6,5:30-AM
1780116,2487806,4274,81817,33.3954452,-84.7702982,4274,80865,33.4003573,-84.772212,15,10:00-AM
1780117,2487806,4274,81600,33.3981738,-84.7718984,4274,81600,33.3981738,-84.7718984,24,2:30-PM
1780118,2487507,4274,81600,33.3981738,-84.7718984,4238,81110,33.4158777,-84.7129194,13,9:00-AM
1780119,2487228,4274,79865,33.3946884,-84.7753556,4269,79113,33.3725264,-84.7704721,11,8:00-AM
1780120,2487229,4274,79865,33.3946884,-84.7753556,593,128841,33.7626156,-84.3730574,9,7:00-AM
1780121,2486830,4274,81226,33.3906138,-84.7856699,4242,79713,33.3944212,-84.7465001,8,6:30-AM
1780122,2487734,4274,80539,33.3969349,-84.7713788,4273,81671,33.4018703,-84.7663254,11,8:00-AM
1780123,2487221,4274,81600,33.3981738,-84.7718984,5066,34516,33.5604,-85.0365687,16,10:30-AM
1780124,2487862,4274,81817,33.3954452,-84.7702982,3401,56388,33.6022326,-84.4139577,9,7:00-AM
1780125,2487476,4274,81271,33.3984306,-84.7747924,3641,113767,33.4352918,-84.6027533,20,12:30-PM
1780126,2487599,4274,81817,33.3954452,-84.7702982,4290,81591,33.422214,-84.7656134,12,8:30-AM
1780127,2487584,4274,81817,33.3954452,-84.7702982,1206,134295,33.5743708,-84.5604784,8,6:30-AM
1780128,2487218,4274,81600,33.3981738,-84.7718984,1188,125943,33.5600803,-84.5389003,10,7:30-AM
1780129,2487142,4274,81600,33.3981738,-84.7718984,4269,79599,33.3699158,-84.7770522,16,10:30-AM
1780130,2487143,4274,81817,33.3954452,-84.7702982,2167,63602,33.9383225,-84.5200717,11,8:00-AM
1780131,2488085,4274,81817,33.3954452,-84.7702982,4275,81291,33.3895492,-84.7827196,12,8:30-AM
1780132,2488086,4274,81817,33.3954452,-84.7702982,3750,113511,33.4677813,-84.4566125,8,6:30-AM
1780133,2487157,4274,81817,33.3954452,-84.7702982,4270,81669,33.3873783,-84.758679,8,6:30-AM
1780134,2487158,4274,81600,33.3981738,-84.7718984,3687,114765,33.4237316,-84.5554323,10,7:30-AM
1780135,2487779,4274,81969,33.3960945,-84.7776106,317,124962,33.8551103,-84.4361648,5,5:00-AM
1780136,2487440,4274,81817,33.3954452,-84.7702982,4274,81817,33.3954452,-84.7702982,10,7:30-AM
1780137,2488060,4274,80518,33.3975053,-84.7736285,4274,81817,33.3954452,-84.7702982,21,1:00-PM
1780138,2487172,4274,81817,33.3954452,-84.7702982,4273,80272,33.4087993,-84.7635443,8,6:30-AM
1780139,2487173,4274,81817,33.3954452,-84.7702982,3643,113556,33.399861,-84.5939687,6,5:30-AM
1780140,2487055,4274,81271,33.3984306,-84.7747924,633,133335,33.7550951,-84.3732607,14,9:30-AM
