index,person-id,orig-taz,orig-block,orig-block-lat,orig-block-lon,dest-taz,dest-block,dest-block-lat,dest-block-lon,start-time-code,start-time
640033,4790642,4619,118686,34.1118918,-84.1169429,2548,147591,33.948537,-84.2126207,13,9:00-AM
640034,4789715,4619,119668,34.1140518,-84.1053072,2264,70387,33.9830745,-84.449161,10,7:30-AM
640035,4790493,4619,118592,34.0987068,-84.1250606,4612,119764,34.1343605,-84.1977457,19,12:00-PM
640036,4790494,4619,118686,34.1118918,-84.1169429,2896,146931,34.1080673,-83.9661075,16,10:30-AM
640037,4790716,4619,118686,34.1118918,-84.1169429,87,127696,34.0897251,-84.2393547,8,6:30-AM
640038,4792909,4619,119313,34.1097325,-84.1090628,197,124322,33.9859826,-84.3551773,7,6:00-AM
640039,4789206,4619,118686,34.1118918,-84.1169429,4599,119179,34.1777744,-84.2502255,8,6:30-AM
640040,4790884,4619,119668,34.1140518,-84.1053072,108,128601,33.9987913,-84.1913738,8,6:30-AM
640041,4790886,4619,119668,34.1140518,-84.1053072,108,131651,34.0034123,-84.182183,7,6:00-AM
640042,4790888,4619,118686,34.1118918,-84.1169429,104,128044,34.0539623,-84.2085959,14,9:30-AM
640043,4789766,4619,119668,34.1140518,-84.1053072,2872,152800,34.0971088,-84.033374,13,9:00-AM
640044,4789768,4619,118686,34.1118918,-84.1169429,2176,67630,33.9540975,-84.5450579,4,4:30-AM
640045,4791856,4619,119664,34.1215214,-84.1033569,87,127696,34.0897251,-84.2393547,12,8:30-AM
640046,4791857,4619,118696,34.1017183,-84.1116489,1320,93818,33.9350832,-84.3424048,5,5:00-AM
640047,4789812,4619,118686,34.1118918,-84.1169429,2321,66817,33.9262028,-84.4351607,8,6:30-AM
640048,4789813,4619,119412,34.1027861,-84.1182418,4618,118319,34.120652,-84.1241989,9,7:00-AM
640049,4789814,4619,118686,34.1118918,-84.1169429,2839,150980,34.0085826,-84.1752904,12,8:30-AM
640050,4790274,4619,119313,34.1097325,-84.1090628,2538,147387,33.933172,-84.18981,7,6:00-AM
640051,4789474,4619,119313,34.1097325,-84.1090628,78,131365,34.0891183,-84.2660548,9,7:00-AM
640052,4789903,4619,118688,34.1053015,-84.1285663,97,123204,34.0516517,-84.1382632,11,8:00-AM
640053,4789477,4619,119668,34.1140518,-84.1053072,101,121671,34.0246771,-84.1850603,9,7:00-AM
640054,4789478,4619,119668,34.1140518,-84.1053072,61,124002,34.0559829,-84.301196,5,5:00-AM
640055,4789931,4619,119313,34.1097325,-84.1090628,2518,147378,33.9547118,-84.2270912,10,7:30-AM
640056,4789932,4619,118686,34.1118918,-84.1169429,92,134419,34.078673,-84.2001271,13,9:00-AM
640057,4791504,4619,118686,34.1118918,-84.1169429,2583,149431,33.9325653,-84.1458483,11,8:00-AM
640058,4791506,4619,118696,34.1017183,-84.1116489,4054,51114,34.2247828,-84.2807769,11,8:00-AM
640059,4791506,4619,119668,34.1140518,-84.1053072,4054,52601,34.2167205,-84.2780697,41,11:00-PM
640060,4790252,4619,118686,34.1118918,-84.1169429,58,130441,34.0539172,-84.3203061,8,6:30-AM
640061,4788823,4619,118688,34.1053015,-84.1285663,78,131665,34.0907761,-84.2687156,10,7:30-AM
640062,4789620,4619,119662,34.1039637,-84.1156381,4555,118905,34.2198842,-84.1395823,14,9:30-AM
640063,4790116,4619,118696,34.1017183,-84.1116489,123,131379,34.0656325,-84.2312904,9,7:00-AM
640064,4790117,4619,118592,34.0987068,-84.1250606,4068,51352,34.1864116,-84.3900796,10,7:30-AM
640065,4789939,4619,118686,34.1118918,-84.1169429,2753,152499,33.9529829,-84.0587703,8,6:30-AM
640066,4789940,4619,119668,34.1140518,-84.1053072,4619,119668,34.1140518,-84.1053072,11,8:00-AM
640067,4791960,4619,119313,34.1097325,-84.1090628,41,124025,34.1041242,-84.2711818,10,7:30-AM
640068,4791071,4619,119668,34.1140518,-84.1053072,4611,118318,34.1275396,-84.1936162,11,8:00-AM
640069,4791072,4619,119662,34.1039637,-84.1156381,4549,119260,34.233327,-84.1989489,7,6:00-AM
640070,4789816,4619,118592,34.0987068,-84.1250606,2790,149653,33.98319,-84.0314003,10,7:30-AM
640071,4822148,4620,119312,34.0912201,-84.129467,2593,148734,33.904632,-84.144675,22,1:30-PM
640072,4819736,4620,118457,34.0781526,-84.1209584,2518,148568,33.9581223,-84.22153,8,6:30-AM
640073,4819737,4620,119312,34.0912201,-84.129467,2692,148850,33.8587304,-84.0316026,11,8:00-AM
640074,4820322,4620,118457,34.0781526,-84.1209584,87,127696,34.0897251,-84.2393547,10,7:30-AM
640075,4820323,4620,118457,34.0781526,-84.1209584,2842,148474,34.0103073,-84.1365303,12,8:30-AM
640076,4821267,4620,118457,34.0781526,-84.1209584,2229,70717,34.0609127,-84.5130785,9,7:00-AM
640077,4819216,4620,119312,34.0912201,-84.129467,2731,147921,33.9486313,-83.995764,7,6:00-AM
640078,4822069,4620,118457,34.0781526,-84.1209584,2839,150980,34.0085826,-84.1752904,11,8:00-AM
640079,4822070,4620,118457,34.0781526,-84.1209584,4063,53187,34.1780314,-84.3668012,8,6:30-AM
640080,4819810,4620,118457,34.0781526,-84.1209584,2839,150980,34.0085826,-84.1752904,17,11:00-AM
640081,4819811,4620,118457,34.0781526,-84.1209584,80,125130,34.0937461,-84.2719447,10,7:30-AM
640082,4820530,4620,119312,34.0912201,-84.129467,248,126475,33.9174197,-84.357435,18,11:30-AM
640083,4821658,4620,118457,34.0781526,-84.1209584,937,131480,33.7201786,-84.4208205,8,6:30-AM
640084,4821659,4620,118457,34.0781526,-84.1209584,3078,238522,33.6228948,-83.9627261,9,7:00-AM
640085,4821290,4620,118457,34.0781526,-84.1209584,4629,118568,34.0820524,-84.1562962,11,8:00-AM
640086,4822214,4620,118457,34.0781526,-84.1209584,2360,62786,33.8463247,-84.4648589,10,7:30-AM
640087,4822215,4620,119312,34.0912201,-84.129467,1565,94085,33.8262892,-84.3402288,9,7:00-AM
640088,4821815,4620,118457,34.0781526,-84.1209584,4611,119645,34.1178404,-84.1857571,15,10:00-AM
640089,4819724,4620,119312,34.0912201,-84.129467,90,130159,34.0676609,-84.2184062,10,7:30-AM
640090,4819725,4620,118457,34.0781526,-84.1209584,2290,64797,33.9564521,-84.4725553,8,6:30-AM
640091,4819726,4620,118457,34.0781526,-84.1209584,101,127707,34.0353611,-84.174264,6,5:30-AM
640092,4819727,4620,118457,34.0781526,-84.1209584,986,122046,33.7414091,-84.4330147,9,7:00-AM
640093,4821530,4620,119312,34.0912201,-84.129467,4615,118685,34.1363148,-84.1395115,11,8:00-AM
640094,4821448,4620,119312,34.0912201,-84.129467,4182,53139,34.1457713,-84.5805785,8,6:30-AM
640095,4821415,4620,118457,34.0781526,-84.1209584,2839,150980,34.0085826,-84.1752904,22,1:30-PM
640096,4819756,4620,119312,34.0912201,-84.129467,97,124009,34.0513692,-84.1495519,9,7:00-AM
640097,4821996,4620,118457,34.0781526,-84.1209584,4565,118866,34.2050932,-84.1384027,10,7:30-AM
640098,4819101,4620,119312,34.0912201,-84.129467,97,133700,34.0550675,-84.1534647,22,1:30-PM
640099,4819102,4620,118457,34.0781526,-84.1209584,2557,148123,33.9305298,-84.2600381,10,7:30-AM
640100,4820568,4620,118457,34.0781526,-84.1209584,2550,147587,33.9394273,-84.2241166,9,7:00-AM
640101,4821700,4620,118457,34.0781526,-84.1209584,177,124726,33.9973718,-84.2504411,11,8:00-AM
640102,4821702,4620,118457,34.0781526,-84.1209584,2839,150980,34.0085826,-84.1752904,9,7:00-AM
640103,4818960,4620,119312,34.0912201,-84.129467,87,127696,34.0897251,-84.2393547,8,6:30-AM
640104,4821300,4620,118457,34.0781526,-84.1209584,2256,65689,34.012903,-84.4383504,4,4:30-AM
640105,4821301,4620,119312,34.0912201,-84.129467,2812,152357,33.9743771,-84.0988932,13,9:00-AM
640106,4822063,4620,118457,34.0781526,-84.1209584,228,132554,33.9249026,-84.4043921,11,8:00-AM
640107,4822193,4620,119312,34.0912201,-84.129467,103,125292,34.0454382,-84.1870932,11,8:00-AM
640108,4822194,4620,118457,34.0781526,-84.1209584,2527,151638,33.9716518,-84.1716233,9,7:00-AM
640109,4821805,4620,118457,34.0781526,-84.1209584,514,128660,33.788314,-84.388538,10,7:30-AM
640110,4819077,4620,118457,34.0781526,-84.1209584,87,127696,34.0897251,-84.2393547,10,7:30-AM
640111,4819078,4620,119312,34.0912201,-84.129467,4612,119910,34.131748,-84.1858306,13,9:00-AM
640112,4821858,4620,119312,34.0912201,-84.129467,2774,151783,33.955286,-84.1014582,12,8:30-AM
640113,4819396,4620,118457,34.0781526,-84.1209584,4611,118318,34.1275396,-84.1936162,10,7:30-AM
640114,4821629,4620,119312,34.0912201,-84.129467,119,132232,34.066722,-84.2670236,11,8:00-AM
640115,4821629,4620,118457,34.0781526,-84.1209584,119,132232,34.066722,-84.2670236,32,6:30-PM
640116,4820817,4620,119312,34.0912201,-84.129467,195,126050,33.9946702,-84.34188,13,9:00-AM
640117,4820818,4620,118457,34.0781526,-84.1209584,2816,146432,33.968999,-84.1318136,8,6:30-AM
640118,4822143,4620,119312,34.0912201,-84.129467,2521,150552,33.9917386,-84.2485305,17,11:00-AM
640119,4819154,4620,118570,34.0584623,-84.1147496,58,130441,34.0539172,-84.3203061,9,7:00-AM
640120,4820170,4620,118457,34.0781526,-84.1209584,2352,69540,33.8681793,-84.4803264,8,6:30-AM
640121,4820338,4620,119312,34.0912201,-84.129467,658,124182,33.7527781,-84.380927,5,5:00-AM
640122,4821898,4620,119312,34.0912201,-84.129467,2767,152392,33.9526888,-84.1149495,10,7:30-AM
640123,4821899,4620,118457,34.0781526,-84.1209584,2855,152719,34.0404711,-84.0712293,7,6:00-AM
640124,4820854,4620,118457,34.0781526,-84.1209584,5796,158124,34.2711102,-83.8107008,9,7:00-AM
640125,4820855,4620,118457,34.0781526,-84.1209584,2849,148846,34.0719678,-84.0716138,9,7:00-AM
640126,4822220,4620,118457,34.0781526,-84.1209584,2583,149431,33.9325653,-84.1458483,11,8:00-AM
640127,4818909,4620,118457,34.0781526,-84.1209584,4565,118866,34.2050932,-84.1384027,7,6:00-AM
640128,4818910,4620,119312,34.0912201,-84.129467,1556,91193,33.8213941,-84.2871008,10,7:30-AM
640129,4822174,4620,119312,34.0912201,-84.129467,2839,150980,34.0085826,-84.1752904,11,8:00-AM
640130,4822175,4620,119783,34.0930998,-84.1157625,1413,92287,33.9007919,-84.2447417,9,7:00-AM
640131,4819920,4620,119312,34.0912201,-84.129467,99,130457,34.0352144,-84.1536913,9,7:00-AM
