index,person-id,orig-taz,orig-block,orig-block-lat,orig-block-lon,dest-taz,dest-block,dest-block-lat,dest-block-lon,start-time-code,start-time
2500126,816936,1868,94139,33.6955028,-84.1559822,1479,91649,33.8350204,-84.1995174,9,7:00-AM
2500127,817069,1868,92829,33.6962499,-84.1671634,1583,93992,33.792407,-84.3225419,15,10:00-AM
2500128,816311,1868,94139,33.6955028,-84.1559822,488,124131,33.7786851,-84.389664,7,6:00-AM
2500129,816312,1868,94139,33.6955028,-84.1559822,678,126607,33.7538579,-84.3880107,6,5:30-AM
2500130,818610,1868,94139,33.6955028,-84.1559822,553,131671,33.776852,-84.3861443,6,5:30-AM
2500131,820519,1868,94139,33.6955028,-84.1559822,3447,56344,33.5974065,-84.4024433,7,6:00-AM
2500132,816347,1868,94139,33.6955028,-84.1559822,2522,151839,33.9885905,-84.2230423,8,6:30-AM
2500133,816348,1868,89356,33.6894212,-84.1703569,364,130236,33.8078688,-84.3882565,12,8:30-AM
2500134,816348,1868,94139,33.6955028,-84.1559822,364,130236,33.8078688,-84.3882565,22,1:30-PM
2500135,816738,1868,92829,33.6962499,-84.1671634,1554,92879,33.8076105,-84.2969148,9,7:00-AM
2500136,815186,1868,94139,33.6955028,-84.1559822,2541,150383,33.9295064,-84.1993888,10,7:30-AM
2500137,820086,1868,94139,33.6955028,-84.1559822,750,129268,33.7511771,-84.3919936,6,5:30-AM
2500138,815753,1868,94139,33.6955028,-84.1559822,1583,93992,33.792407,-84.3225419,8,6:30-AM
2500139,819976,1868,92829,33.6962499,-84.1671634,680,126606,33.7538024,-84.3896345,8,6:30-AM
2500140,819977,1868,94139,33.6955028,-84.1559822,678,129586,33.7542818,-84.3891515,15,10:00-AM
2500141,820995,1868,92829,33.6962499,-84.1671634,1505,89048,33.8206082,-84.2111798,6,5:30-AM
2500142,820996,1868,94139,33.6955028,-84.1559822,1869,89910,33.6983641,-84.1834234,7,6:00-AM
2500143,815862,1868,94139,33.6955028,-84.1559822,714,123519,33.7636168,-84.3870493,10,7:30-AM
2500144,819936,1868,94139,33.6955028,-84.1559822,1814,90405,33.7351596,-84.1248208,11,8:00-AM
2500145,816539,1868,92829,33.6962499,-84.1671634,777,129725,33.7495798,-84.3863088,10,7:30-AM
2500146,820444,1868,92829,33.6962499,-84.1671634,516,126628,33.7944633,-84.3877009,6,5:30-AM
2500147,815857,1868,94679,33.6974624,-84.1585424,1539,88746,33.7886714,-84.2865929,8,6:30-AM
2500148,815713,1868,94920,33.6927335,-84.1656533,1868,94139,33.6955028,-84.1559822,10,7:30-AM
2500149,818111,1868,94139,33.6955028,-84.1559822,759,123900,33.7472341,-84.3952888,10,7:30-AM
2500150,818111,1868,94139,33.6955028,-84.1559822,759,123900,33.7472341,-84.3952888,14,9:30-AM
2500151,815746,1868,94139,33.6955028,-84.1559822,1773,88198,33.7166678,-84.2217603,16,10:30-AM
2500152,818593,1868,94679,33.6974624,-84.1585424,1869,94900,33.6979764,-84.1776308,16,10:30-AM
2500153,815693,1868,92829,33.6962499,-84.1671634,554,129175,33.7743374,-84.3854374,8,6:30-AM
2500154,817885,1868,94139,33.6955028,-84.1559822,1798,95161,33.7043206,-84.1800978,10,7:30-AM
2500155,817934,1868,94139,33.6955028,-84.1559822,1800,90444,33.7169277,-84.1781094,25,3:00-PM
2500156,817935,1868,89356,33.6894212,-84.1703569,1457,91645,33.8517801,-84.2277962,11,8:00-AM
2500157,817469,1868,92274,33.7017915,-84.1525709,1877,91557,33.6594225,-84.1984613,12,8:30-AM
2500158,817489,1868,94139,33.6955028,-84.1559822,2145,68363,33.9078063,-84.5887438,8,6:30-AM
2500159,817490,1868,92829,33.6962499,-84.1671634,1402,89471,33.914926,-84.268569,8,6:30-AM
2500160,817581,1868,88849,33.6922921,-84.1713304,1444,89863,33.8351291,-84.2461279,9,7:00-AM
2500161,817378,1868,94139,33.6955028,-84.1559822,577,125173,33.778476,-84.3508401,20,12:30-PM
2500162,817379,1868,92829,33.6962499,-84.1671634,1896,91958,33.6721527,-84.2370013,13,9:00-AM
2500163,815132,1868,94139,33.6955028,-84.1559822,1800,90444,33.7169277,-84.1781094,9,7:00-AM
2500164,815132,1868,94139,33.6955028,-84.1559822,1800,90444,33.7169277,-84.1781094,22,1:30-PM
2500165,815948,1868,92829,33.6962499,-84.1671634,564,130337,33.7771116,-84.3742486,11,8:00-AM
2500166,820842,1868,94139,33.6955028,-84.1559822,1803,92321,33.7045566,-84.1218154,7,6:00-AM
2500167,820843,1868,94139,33.6955028,-84.1559822,1583,92138,33.7946213,-84.3231049,9,7:00-AM
2500168,818095,1868,92829,33.6962499,-84.1671634,658,124579,33.7518292,-84.3819265,16,10:30-AM
2500169,818095,1868,94139,33.6955028,-84.1559822,658,124579,33.7518292,-84.3819265,27,4:00-PM
2500170,819487,1868,90156,33.6912118,-84.1739778,1753,88911,33.7736954,-84.244489,11,8:00-AM
2500171,820153,1868,92829,33.6962499,-84.1671634,1800,90444,33.7169277,-84.1781094,23,2:00-PM
2500172,819173,1868,92274,33.7017915,-84.1525709,2636,152287,33.7633505,-84.0179658,11,8:00-AM
2500173,817541,1868,94679,33.6974624,-84.1585424,670,129587,33.7550147,-84.3852332,6,5:30-AM
2500174,820815,1868,92829,33.6962499,-84.1671634,749,129104,33.7524297,-84.3910113,8,6:30-AM
2500175,815238,1868,94139,33.6955028,-84.1559822,675,124178,33.7573738,-84.3877249,9,7:00-AM
2500176,817853,1868,94139,33.6955028,-84.1559822,737,130946,33.7635003,-84.3940148,6,5:30-AM
2500177,817854,1868,94139,33.6955028,-84.1559822,873,125228,33.6969777,-84.3934788,6,5:30-AM
2500178,819384,1868,94139,33.6955028,-84.1559822,3161,166496,33.5270739,-84.2400225,12,8:30-AM
2500179,820916,1868,94139,33.6955028,-84.1559822,1868,94139,33.6955028,-84.1559822,13,9:00-AM
2500180,817449,1868,94679,33.6974624,-84.1585424,1197,124692,33.5814612,-84.5463433,9,7:00-AM
2500181,815706,1868,92829,33.6962499,-84.1671634,1009,128817,33.7513278,-84.472525,5,5:00-AM
2500182,815706,1868,94139,33.6955028,-84.1559822,1009,128817,33.7513278,-84.472525,22,1:30-PM
2500183,819679,1868,94679,33.6974624,-84.1585424,1800,90444,33.7169277,-84.1781094,8,6:30-AM
2500184,818879,1868,94679,33.6974624,-84.1585424,962,127445,33.7461682,-84.4022527,11,8:00-AM
2500185,816512,1868,94139,33.6955028,-84.1559822,1799,91200,33.7081999,-84.1723789,4,4:30-AM
2500186,816679,1868,94139,33.6955028,-84.1559822,701,133583,33.760351,-84.3894213,9,7:00-AM
2500187,817415,1868,88849,33.6922921,-84.1713304,1868,92829,33.6962499,-84.1671634,12,8:30-AM
2500188,820155,1868,94139,33.6955028,-84.1559822,1760,91893,33.7678294,-84.2239822,11,8:00-AM
2500189,816198,1868,94139,33.6955028,-84.1559822,1505,95134,33.8227492,-84.2098591,11,8:00-AM
2500190,815067,1868,92829,33.6962499,-84.1671634,2524,150210,33.9728061,-84.2134559,6,5:30-AM
2500191,819366,1868,94139,33.6955028,-84.1559822,1798,95161,33.7043206,-84.1800978,10,7:30-AM
2500192,819533,1868,89745,33.6911158,-84.1711358,1869,94900,33.6979764,-84.1776308,11,8:00-AM
2500193,819098,1868,94139,33.6955028,-84.1559822,2335,65767,33.8958785,-84.4541646,9,7:00-AM
2500194,818432,1868,92829,33.6962499,-84.1671634,705,126261,33.7615865,-84.3850969,15,10:00-AM
2500195,815327,1868,94139,33.6955028,-84.1559822,658,126879,33.7508203,-84.3830455,8,6:30-AM
2500196,817678,1868,94679,33.6974624,-84.1585424,3114,239052,33.6057209,-84.1501889,11,8:00-AM
2500197,817679,1868,92829,33.6962499,-84.1671634,1576,92027,33.8038478,-84.3152385,11,8:00-AM
2500198,818440,1868,94139,33.6955028,-84.1559822,693,123896,33.7562277,-84.3924169,10,7:30-AM
2500199,815734,1868,94139,33.6955028,-84.1559822,3388,56437,33.6180393,-84.4361669,11,8:00-AM
2500200,816843,1868,92829,33.6962499,-84.1671634,1814,90527,33.7278243,-84.130325,9,7:00-AM
2500201,817253,1868,94139,33.6955028,-84.1559822,1550,91157,33.7988303,-84.2678272,7,6:00-AM
2500202,821075,1868,94139,33.6955028,-84.1559822,1840,90153,33.7172499,-84.1122634,5,5:00-AM
2500203,818384,1868,92829,33.6962499,-84.1671634,686,124310,33.7573383,-84.3880587,23,2:00-PM
2500204,817940,1868,94920,33.6927335,-84.1656533,1868,94139,33.6955028,-84.1559822,9,7:00-AM
2500205,820456,1868,94139,33.6955028,-84.1559822,1774,90356,33.714473,-84.226483,11,8:00-AM
2500206,819206,1868,94139,33.6955028,-84.1559822,1583,90623,33.7943384,-84.326462,9,7:00-AM
2500207,819207,1868,92829,33.6962499,-84.1671634,1380,91697,33.8484649,-84.3111711,7,6:00-AM
2500208,816346,1868,94139,33.6955028,-84.1559822,740,130947,33.7616282,-84.391296,8,6:30-AM
2500209,815928,1868,94139,33.6955028,-84.1559822,287,132935,33.910707,-84.3562756,10,7:30-AM
2500210,820922,1868,94139,33.6955028,-84.1559822,1456,93889,33.8400417,-84.240563,8,6:30-AM
2500211,819714,1868,94139,33.6955028,-84.1559822,1131,127862,33.6622466,-84.4174026,10,7:30-AM
2500212,815634,1868,94139,33.6955028,-84.1559822,1569,94165,33.8061354,-84.3434564,8,6:30-AM
2500213,819215,1868,94139,33.6955028,-84.1559822,303,130954,33.8478933,-84.3708327,12,8:30-AM
2500214,815145,1868,90096,33.6988437,-84.1622076,1385,93120,33.8730866,-84.2883683,11,8:00-AM
