index,person-id,orig-taz,orig-block,orig-block-lat,orig-block-lon,dest-taz,dest-block,dest-block-lat,dest-block-lon,start-time-code,start-time
80005,706199,534,132292,33.7964703,-84.3511793,1579,90382,33.7981053,-84.3163019,9,7:00-AM
80006,706210,534,133247,33.7966209,-84.3566117,547,125802,33.7893253,-84.385346,10,7:30-AM
80007,706751,534,132178,33.7938716,-84.353277,1133,124444,33.6510991,-84.4236634,7,6:00-AM
80008,706752,534,129417,33.7939735,-84.3569304,577,125173,33.778476,-84.3508401,13,9:00-AM
80009,706605,534,129417,33.7939735,-84.3569304,2003,70831,34.0441718,-84.5937329,10,7:30-AM
80010,706594,534,121743,33.7938398,-84.3550984,254,128120,33.9236149,-84.378183,22,1:30-PM
80011,706344,534,132179,33.7965705,-84.3531152,297,121978,33.8506845,-84.365951,24,2:30-PM
80012,706404,534,132179,33.7965705,-84.3531152,678,129586,33.7542818,-84.3891515,10,7:30-AM
80013,706280,534,129417,33.7939735,-84.3569304,509,125159,33.7881375,-84.3962601,9,7:00-AM
80014,706829,534,132179,33.7965705,-84.3531152,1387,90190,33.878818,-84.2900291,10,7:30-AM
80015,706850,534,133247,33.7966209,-84.3566117,1583,90623,33.7943384,-84.326462,12,8:30-AM
80016,706681,534,133247,33.7966209,-84.3566117,224,129979,33.9430113,-84.3812262,15,10:00-AM
80017,706284,534,132292,33.7964703,-84.3511793,548,129919,33.7850994,-84.3852716,16,10:30-AM
80018,706642,534,129417,33.7939735,-84.3569304,679,124180,33.7526849,-84.3891605,10,7:30-AM
80019,706376,534,121743,33.7938398,-84.3550984,1580,91836,33.7923603,-84.3167438,10,7:30-AM
80020,706377,534,133247,33.7966209,-84.3566117,1576,93679,33.8063802,-84.3127629,9,7:00-AM
80021,706188,534,132178,33.7938716,-84.353277,1582,92193,33.7995988,-84.3298714,15,10:00-AM
80022,706189,534,121743,33.7938398,-84.3550984,476,121508,33.7827285,-84.4280933,8,6:30-AM
80023,706305,534,132179,33.7965705,-84.3531152,367,131597,33.8093237,-84.395033,11,8:00-AM
80024,706306,534,129417,33.7939735,-84.3569304,520,130617,33.8032298,-84.3700046,9,7:00-AM
80025,706270,534,132178,33.7938716,-84.353277,248,126141,33.9165791,-84.3549166,11,8:00-AM
80026,706757,534,132179,33.7965705,-84.3531152,727,127032,33.7677516,-84.3875708,9,7:00-AM
