Stop Id,Lat,Lon
100014,33.745587,-84.417784
908301,33.7173,-84.42503
100014,33.745587,-84.417784
100014,33.745587,-84.417784
908436,33.749951,-84.375675
100014,33.745587,-84.417784
100014,33.745587,-84.417784
907907,33.754517,-84.469824
100014,33.745587,-84.417784
908911,33.766111,-84.387504
100014,33.745587,-84.417784
100014,33.745587,-84.417784
100014,33.745587,-84.417784
100014,33.745587,-84.417784
100014,33.745587,-84.417784
100014,33.745587,-84.417784
100040,33.74892,-84.421694
120068,33.706005,-84.506485
100040,33.74892,-84.421694
129012,33.704363,-84.30834
100040,33.74892,-84.421694
100040,33.74892,-84.421694
100040,33.74892,-84.421694
100054,33.753443,-84.428174
100054,33.753443,-84.428174
100054,33.753443,-84.428174
100054,33.753443,-84.428174
100061,33.747532,-84.426611
100061,33.747532,-84.426611
120068,33.706005,-84.506485
100061,33.747532,-84.426611
211065,33.585073,-84.469175
100061,33.747532,-84.426611
908845,33.902787,-84.28061
100061,33.747532,-84.426611
907907,33.754517,-84.469824
100061,33.747532,-84.426611
100061,33.747532,-84.426611
100061,33.747532,-84.426611
100061,33.747532,-84.426611
100061,33.747532,-84.426611
100080,33.742287,-84.423462
100090,33.742262,-84.428855
129012,33.704363,-84.30834
101042,33.749192,-84.410651
101042,33.749192,-84.410651
101042,33.749192,-84.410651
101042,33.749192,-84.410651
101042,33.749192,-84.410651
101144,33.754506,-84.410251
182014,33.587319,-84.548837
101144,33.754506,-84.410251
101144,33.754506,-84.410251
101144,33.754506,-84.410251
102222,33.743098,-84.398064
102222,33.743098,-84.398064
908628,33.677424,-84.440542
102222,33.743098,-84.398064
102222,33.743098,-84.398064
908629,33.70088,-84.428768
908629,33.70088,-84.428768
102222,33.743098,-84.398064
908963,33.756478,-84.41723
102222,33.743098,-84.398064
102222,33.743098,-84.398064
102222,33.743098,-84.398064
102222,33.743098,-84.398064
102252,33.7416,-84.387733
908634,33.772647,-84.251607
102252,33.7416,-84.387733
102252,33.7416,-84.387733
102252,33.7416,-84.387733
102252,33.7416,-84.387733
102252,33.7416,-84.387733
212171,33.571945,-84.354724
102252,33.7416,-84.387733
102252,33.7416,-84.387733
908872,33.910757,-84.35189
908872,33.910757,-84.35189
102252,33.7416,-84.387733
908603,33.887929,-84.305556
102252,33.7416,-84.387733
102253,33.746314,-84.387667
102253,33.746314,-84.387667
102253,33.746314,-84.387667
212171,33.571945,-84.354724
212171,33.571945,-84.354724
102316,33.75352,-84.381276
908301,33.7173,-84.42503
102316,33.75352,-84.381276
129012,33.704363,-84.30834
102316,33.75352,-84.381276
102316,33.75352,-84.381276
908436,33.749951,-84.375675
102316,33.75352,-84.381276
102316,33.75352,-84.381276
908704,33.736564,-84.413653
908704,33.736564,-84.413653
102316,33.75352,-84.381276
102316,33.75352,-84.381276
906369,33.789669,-84.387414
906369,33.789669,-84.387414
102316,33.75352,-84.381276
102316,33.75352,-84.381276
908186,33.860329,-84.339245
908186,33.860329,-84.339245
102316,33.75352,-84.381276
902723,34.040324,-84.319267
102316,33.75352,-84.381276
908186,33.860329,-84.339245
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
902327,33.819005,-84.193778
902327,33.819005,-84.193778
902327,33.819005,-84.193778
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102316,33.75352,-84.381276
102546,33.743984,-84.393218
102546,33.743984,-84.393218
102546,33.743984,-84.393218
129012,33.704363,-84.30834
102546,33.743984,-84.393218
102546,33.743984,-84.393218
103083,33.745528,-84.379248
908566,33.765241,-84.312937
103083,33.745528,-84.379248
908515,33.769856,-84.228906
103083,33.745528,-84.379248
129012,33.704363,-84.30834
103083,33.745528,-84.379248
129012,33.704363,-84.30834
103083,33.745528,-84.379248
120068,33.706005,-84.506485
103083,33.745528,-84.379248
908437,33.757451,-84.352762
103083,33.745528,-84.379248
120068,33.706005,-84.506485
103083,33.745528,-84.379248
129012,33.704363,-84.30834
103083,33.745528,-84.379248
103083,33.745528,-84.379248
907907,33.754517,-84.469824
907907,33.754517,-84.469824
103083,33.745528,-84.379248
907960,33.772159,-84.428873
103083,33.745528,-84.379248
103083,33.745528,-84.379248
103083,33.745528,-84.379248
103083,33.745528,-84.379248
103083,33.745528,-84.379248
103083,33.745528,-84.379248
103083,33.745528,-84.379248
103095,33.746812,-84.36802
908634,33.772647,-84.251607
103095,33.746812,-84.36802
907906,33.753247,-84.445568
103095,33.746812,-84.36802
103095,33.746812,-84.36802
103095,33.746812,-84.36802
103095,33.746812,-84.36802
103095,33.746812,-84.36802
103095,33.746812,-84.36802
104068,33.746627,-84.359052
104068,33.746627,-84.359052
908634,33.772647,-84.251607
908634,33.772647,-84.251607
104068,33.746627,-84.359052
908704,33.736564,-84.413653
104068,33.746627,-84.359052
908628,33.677424,-84.440542
104068,33.746627,-84.359052
212171,33.571945,-84.354724
104068,33.746627,-84.359052
908634,33.772647,-84.251607
104068,33.746627,-84.359052
908634,33.772647,-84.251607
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
908186,33.860329,-84.339245
908186,33.860329,-84.339245
908186,33.860329,-84.339245
104068,33.746627,-84.359052
908845,33.902787,-84.28061
104068,33.746627,-84.359052
908845,33.902787,-84.28061
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
104068,33.746627,-84.359052
105018,33.727647,-84.325332
105075,33.73999,-84.33256
105075,33.73999,-84.33256
105075,33.73999,-84.33256
105075,33.73999,-84.33256
105158,33.731236,-84.337211
105158,33.731236,-84.337211
105186,33.753239,-84.325806
105186,33.753239,-84.325806
908634,33.772647,-84.251607
105186,33.753239,-84.325806
105186,33.753239,-84.325806
105186,33.753239,-84.325806
105186,33.753239,-84.325806
105186,33.753239,-84.325806
105186,33.753239,-84.325806
105186,33.753239,-84.325806
