Lat,Lon
33.699048238233146,-84.42596518523757
33.71729999999969,-84.42502999999881
33.80182146239138,-84.34675988182285
33.709741724137864,-84.50666332523666
33.7166325895674,-84.25490423176775
33.60397654861699,-84.4758311619325
33.5872528325651,-84.54981062519259
33.67742400000077,-84.44054199999775
33.70088000000025,-84.42876799999975
33.57336455995267,-84.38909049200625
33.917168048657786,-84.34910062583945
33.73656400000005,-84.4136530000009
34.04039650220324,-84.31927583700414
33.76512391666672,-84.31288562500023
33.716731450980305,-84.32573210294115
33.84030983139505,-84.26419444573679
33.64897819200611,-84.44828849372841
33.7368142666667,-84.19046810666678
33.74583322222219,-84.13679972222222
33.72503406829268,-84.58310246585303
33.70699007142855,-84.11339726428584
33.688895000000095,-84.33703099999997
33.567569605633835,-84.57963384507035
33.783276312499986,-84.16215360937495
33.747819772727276,-84.16620163636371
33.911129675213736,-84.42468122222235
33.776247921052615,-84.19496850000007
33.8044986281251,-84.19105349374999
33.70037439215679,-84.16842435294095
33.71403767452817,-84.21308545754698
33.657360544354795,-84.50659536693537
33.65433629411766,-84.47782171895447
33.80443151923075,-84.47673957692304
33.78866897560982,-84.40766834959342
33.73077594267511,-84.39317173885392
33.684247766666715,-84.50084363333332
33.745767839999985,-84.40616279999995
34.09585738345859,-84.2409060827069
34.021793807692326,-84.3254132692307
33.5628467979798,-84.51739484848491
33.7172656470588,-84.30976011764722
33.65901399999997,-84.42616599999998
33.763512,-84.43798400000007
33.72736299999998,-84.36230400000012
33.82841405555554,-84.33329855555543
33.77383999999991,-84.35298499999999
33.7670622692308,-84.40165343589754
33.79365193421049,-84.28072146052642
33.72961899999997,-84.51055400000004
33.62663331944446,-84.36796263690462
33.631201948051974,-84.28966671428572
33.70492561666675,-84.27754104166675
33.614434799999984,-84.44934359999993
33.520004536,-84.36179698400012
33.735991000000006,-84.56500099999995
34.06969275806454,-84.28829619354832
33.84943320754712,-84.20625450000006
33.77177600000003,-84.55242099999998
33.715668000000036,-84.39210399999993
33.570023000000106,-84.53859299999999
33.87660899270064,-84.46437240875902
33.84291047572814,-84.42663176699017
33.850511407079665,-84.21616207079654
33.81918243650797,-84.45332596825403
33.759863396825395,-84.17491580952385
34.07329619983435,-84.2571320398017
33.78639863492065,-84.49459785714278
33.98582619029845,-84.34974328731334
33.79755400000009,-84.2239300000001
33.80102258119658,-84.2083392905983
33.790184147540955,-84.17656790163939
33.92726071028025,-84.26946771495345
33.882017092436946,-84.25111296638647
33.52370155696202,-84.6646916075949
33.94494999999995,-84.35727499999972
33.93167100000013,-84.35106900000021
