stop_id,stop_lat,stop_lon
908976,33.753899,-84.39156
907842,33.758082,-84.387595
906647,33.640553,-84.446198
908618,33.750161,-84.385915
906369,33.789669,-84.387414
907913,33.771472,-84.387258
908374,33.781247,-84.386342
908475,33.774699,-84.295417
908047,33.92113,-84.344268
907775,33.823501,-84.369313
902641,34.085992,-84.260559
908704,33.736564,-84.413653
907844,33.650282,-84.448612
908639,33.847944,-84.367716
908628,33.677424,-84.440542
908911,33.766111,-84.387504
907907,33.754517,-84.469824
906827,33.845388,-84.358235
908872,33.910757,-84.35189
908634,33.772647,-84.251607
908435,33.756179,-84.397215
907845,33.931671,-84.351069
907843,33.748696,-84.395741
908603,33.887929,-84.305556
907766,33.94495,-84.357275
903120,34.03815,-84.313769
908301,33.7173,-84.42503
908963,33.756478,-84.41723
908436,33.749951,-84.375675
908515,33.769856,-84.228906
908845,33.902787,-84.28061
908629,33.70088,-84.428768
908438,33.775554,-84.281487
907960,33.772159,-84.428873
908186,33.860329,-84.339245
907906,33.753247,-84.445568
130090,33.711379,-84.271581
908437,33.757451,-84.352762
908958,33.756613,-84.403902
134088,33.699076,-84.099258
140008,33.708942,-84.359405
165056,33.651081,-84.489295
901560,33.792989,-84.320927
145114,33.688008,-84.489785
131020,33.7071,-84.220128
905047,33.771219,-84.374655
121010,33.698608,-84.482681
908566,33.765241,-84.312937
903358,33.780327,-84.238746
211482,33.811196,-84.182803
210346,33.702106,-84.172974
211710,33.802098,-84.194198
122372,33.707124,-84.455263
158309,33.681367,-84.416012
906284,33.993077,-84.347099
144950,33.688804,-84.507221
902452,33.809956,-84.393039
904512,33.773518,-84.365112
906042,33.810994,-84.193824
184036,33.588118,-84.469115
122014,33.70454,-84.462715
903425,33.76211,-84.197929
903581,33.802395,-84.311049
900175,33.73874,-84.4336
908476,33.761803,-84.340825
151060,33.688895,-84.337031
210392,33.65164,-84.480654
122050,33.70974,-84.449141
211898,33.714872,-84.212892
211670,33.616154,-84.464761
107346,33.754236,-84.268627
176090,33.615688,-84.47278
210750,34.089878,-84.25014
901608,33.816246,-84.181656
905154,33.763484,-84.429862
212115,33.597177,-84.428674
165052,33.644348,-84.489057
903818,33.810252,-84.273232
212439,33.640531,-84.417144
212236,33.506028,-84.360042
158374,33.681477,-84.423431
901895,33.818595,-84.232404
130084,33.700233,-84.270437
212110,33.594327,-84.409858
212100,33.605667,-84.435141
901796,33.788227,-84.325147
165075,33.65375,-84.493647
132116,33.711448,-84.187649
900612,33.818897,-84.353012
146110,33.671337,-84.459648
905855,33.76032,-84.506115
900861,33.734256,-84.532266
109020,33.752618,-84.196884
212168,33.573786,-84.350014
176048,33.63341,-84.492124
133029,33.702183,-84.148201
211580,33.785463,-84.162077
159014,33.672592,-84.393394
176152,33.623512,-84.474121
158310,33.68118,-84.40826
134001,33.717559,-84.1451
903506,33.788646,-84.2322
114106,33.741352,-84.402786
210501,33.683991,-84.500573
906088,33.801198,-84.206687
906162,33.892537,-84.231129
145068,33.673782,-84.497021
130096,33.718143,-84.275124
210746,34.099266,-84.241199
900349,33.8191,-84.45087
107174,33.738413,-84.273747
905928,33.853317,-84.381663
900684,33.751731,-84.491278
120032,33.723303,-84.506875
212103,33.61323,-84.437398
902327,33.819005,-84.193778
131133,33.710074,-84.203772
176157,33.624859,-84.460348
137056,33.712053,-84.407715
902264,33.842188,-84.329468
111008,33.744949,-84.133041
903503,33.797554,-84.22393
900892,33.745762,-84.508462
130112,33.711852,-84.252631
133095,33.716584,-84.129507
905796,33.797735,-84.236785
900079,33.878148,-84.46904
212099,33.602046,-84.430047
134003,33.719769,-84.154564
903078,34.041281,-84.342017
903290,33.740568,-84.510123
902745,33.990268,-84.343129
906040,33.80068,-84.201355
903749,33.765077,-84.530123
