Stop Id,Lat,Lon
908704,33.736564,-84.413653
122372,33.707124,-84.455263
122387,33.722031,-84.464254
908963,33.756478,-84.41723
126022,33.71363,-84.368067
210402,33.731819,-84.387846
908963,33.756478,-84.41723
900684,33.751731,-84.491278
908704,33.736564,-84.413653
901037,33.763988,-84.371856
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908704,33.736564,-84.413653
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908704,33.736564,-84.413653
120032,33.723303,-84.506875
908963,33.756478,-84.41723
129298,33.70617,-84.29668
908963,33.756478,-84.41723
908704,33.736564,-84.413653
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908963,33.756478,-84.41723
100014,33.745587,-84.417784
908704,33.736564,-84.413653
144950,33.688804,-84.507221
908704,33.736564,-84.413653
184062,33.608929,-84.471069
908963,33.756478,-84.41723
902763,33.922049,-84.296748
907906,33.753247,-84.445568
903665,33.773282,-84.473467
908704,33.736564,-84.413653
908704,33.736564,-84.413653
908963,33.756478,-84.41723
908963,33.756478,-84.41723
908704,33.736564,-84.413653
908704,33.736564,-84.413653
907906,33.753247,-84.445568
130090,33.711379,-84.271581
908958,33.756613,-84.403902
908958,33.756613,-84.403902
908958,33.756613,-84.403902
908958,33.756613,-84.403902
908958,33.756613,-84.403902
907843,33.748696,-84.395741
183026,33.607414,-84.53043
908958,33.756613,-84.403902
908958,33.756613,-84.403902
908958,33.756613,-84.403902
140008,33.708942,-84.359405
907843,33.748696,-84.395741
149042,33.68122,-84.396147
907843,33.748696,-84.395741
907843,33.748696,-84.395741
212041,33.689335,-84.414468
212041,33.689335,-84.414468
907843,33.748696,-84.395741
905154,33.763484,-84.429862
907843,33.748696,-84.395741
907843,33.748696,-84.395741
907843,33.748696,-84.395741
907843,33.748696,-84.395741
908618,33.750161,-84.385915
107346,33.754236,-84.268627
115160,33.727117,-84.39295
138004,33.711254,-84.381989
139054,33.706543,-84.379454
212207,33.669525,-84.367673
907843,33.748696,-84.395741
212353,33.6162,-84.352853
908618,33.750161,-84.385915
908618,33.750161,-84.385915
902699,33.909002,-84.378784
902699,33.909002,-84.378784
908618,33.750161,-84.385915
905309,33.86861,-84.283438
908618,33.750161,-84.385915
138004,33.711254,-84.381989
907843,33.748696,-84.395741
907843,33.748696,-84.395741
212353,33.6162,-84.352853
212353,33.6162,-84.352853
908976,33.753899,-84.39156
123024,33.712353,-84.423349
908436,33.749951,-84.375675
128130,33.724917,-84.320735
210596,33.722086,-84.393207
908436,33.749951,-84.375675
212201,33.665966,-84.355759
908976,33.753899,-84.39156
908976,33.753899,-84.39156
900247,33.733199,-84.437509
900247,33.733199,-84.437509
907842,33.758082,-84.387595
907842,33.758082,-84.387595
