Lat,Lon
33.725821,-84.582613
33.706005,-84.506485
33.704363,-84.30834
33.705515,-84.135234
33.666336,-84.245115
33.587319,-84.548837
33.549064,-84.605057
33.911532,-84.424331
33.585073,-84.469175
33.571945,-84.354724
33.506028,-84.360042
33.534351,-84.418769
33.448938,-84.339496
33.644332,-84.325288
33.819005,-84.193778
33.834237,-84.271889
34.040324,-84.319267
34.064854,-84.253526
